,emotion_tags,social_tags
BEYONCÉ,"[('winter', 25), ('must-listen', 42), ('pop art', 3), ('autumnsongs', 60), ('sing along with me', 45), ('aterciopelados - no necesito', 79), ('cow', 66), ('immediatly grabbed my attention', 23), ('makes me a jolly little boy', 93), ('atlantic starr love crazy', 7)]","[('almost dissonant guitar', 25), ('soulrnb', 32), ('listen reaaaaally loud', 71), ('leccaciuffi', 16), ('amazingness', 15), ('to remember forever', 16), ('maar niet zo mooi als 2007', 81), ('drag queen', 52), ('philly local', 61), ('head-boppin', 33)]"
B’Day,"[('winter', 66), ('must-listen', 94), ('pop art', 50), ('autumnsongs', 38), ('sing along with me', 31), ('aterciopelados - no necesito', 95), ('cow', 97), ('immediatly grabbed my attention', 6), ('makes me a jolly little boy', 34), ('atlantic starr love crazy', 5)]","[('almost dissonant guitar', 51), ('soulrnb', 47), ('listen reaaaaally loud', 88), ('leccaciuffi', 98), ('amazingness', 6), ('to remember forever', 81), ('maar niet zo mooi als 2007', 58), ('drag queen', 73), ('philly local', 22), ('head-boppin', 42)]"
B’Day,"[('winter', 99), ('must-listen', 67), ('pop art', 2), ('autumnsongs', 98), ('sing along with me', 42), ('aterciopelados - no necesito', 30), ('cow', 86), ('immediatly grabbed my attention', 34), ('makes me a jolly little boy', 13), ('atlantic starr love crazy', 26)]","[('almost dissonant guitar', 27), ('soulrnb', 89), ('listen reaaaaally loud', 66), ('leccaciuffi', 2), ('amazingness', 46), ('to remember forever', 43), ('maar niet zo mooi als 2007', 98), ('drag queen', 50), ('philly local', 39), ('head-boppin', 59)]"
I Am... Sasha Fierce,"[('winter', 91), ('must-listen', 92), ('pop art', 67), ('autumnsongs', 100), ('sing along with me', 20), ('aterciopelados - no necesito', 60), ('cow', 65), ('immediatly grabbed my attention', 3), ('makes me a jolly little boy', 6), ('atlantic starr love crazy', 98)]","[('almost dissonant guitar', 10), ('soulrnb', 31), ('listen reaaaaally loud', 48), ('leccaciuffi', 51), ('amazingness', 65), ('to remember forever', 37), ('maar niet zo mooi als 2007', 48), ('drag queen', 69), ('philly local', 56), ('head-boppin', 91)]"
Dangerously In Love,"[('winter', 6), ('must-listen', 54), ('pop art', 93), ('autumnsongs', 32), ('sing along with me', 63), ('aterciopelados - no necesito', 24), ('cow', 23), ('immediatly grabbed my attention', 29), ('makes me a jolly little boy', 6), ('atlantic starr love crazy', 40)]","[('almost dissonant guitar', 51), ('soulrnb', 74), ('listen reaaaaally loud', 42), ('leccaciuffi', 61), ('amazingness', 79), ('to remember forever', 94), ('maar niet zo mooi als 2007', 43), ('drag queen', 10), ('philly local', 75), ('head-boppin', 3)]"
I Am... Sasha Fierce,"[('winter', 95), ('must-listen', 69), ('pop art', 69), ('autumnsongs', 13), ('sing along with me', 83), ('aterciopelados - no necesito', 87), ('cow', 29), ('immediatly grabbed my attention', 54), ('makes me a jolly little boy', 93), ('atlantic starr love crazy', 54)]","[('almost dissonant guitar', 81), ('soulrnb', 34), ('listen reaaaaally loud', 92), ('leccaciuffi', 61), ('amazingness', 8), ('to remember forever', 17), ('maar niet zo mooi als 2007', 62), ('drag queen', 68), ('philly local', 75), ('head-boppin', 68)]"
I Am... Sasha Fierce,"[('winter', 15), ('must-listen', 65), ('pop art', 72), ('autumnsongs', 6), ('sing along with me', 45), ('aterciopelados - no necesito', 26), ('cow', 89), ('immediatly grabbed my attention', 30), ('makes me a jolly little boy', 17), ('atlantic starr love crazy', 80)]","[('almost dissonant guitar', 67), ('soulrnb', 100), ('listen reaaaaally loud', 96), ('leccaciuffi', 16), ('amazingness', 76), ('to remember forever', 38), ('maar niet zo mooi als 2007', 8), ('drag queen', 54), ('philly local', 91), ('head-boppin', 78)]"
B’Day (Deluxe Edition),"[('winter', 75), ('must-listen', 99), ('pop art', 4), ('autumnsongs', 24), ('sing along with me', 6), ('aterciopelados - no necesito', 10), ('cow', 40), ('immediatly grabbed my attention', 48), ('makes me a jolly little boy', 3), ('atlantic starr love crazy', 34)]","[('almost dissonant guitar', 43), ('soulrnb', 32), ('listen reaaaaally loud', 63), ('leccaciuffi', 95), ('amazingness', 1), ('to remember forever', 93), ('maar niet zo mooi als 2007', 69), ('drag queen', 18), ('philly local', 88), ('head-boppin', 68)]"
I Am... Sasha Fierce,"[('winter', 65), ('must-listen', 50), ('pop art', 97), ('autumnsongs', 11), ('sing along with me', 59), ('aterciopelados - no necesito', 47), ('cow', 12), ('immediatly grabbed my attention', 61), ('makes me a jolly little boy', 81), ('atlantic starr love crazy', 96)]","[('almost dissonant guitar', 83), ('soulrnb', 93), ('listen reaaaaally loud', 69), ('leccaciuffi', 96), ('amazingness', 39), ('to remember forever', 38), ('maar niet zo mooi als 2007', 67), ('drag queen', 93), ('philly local', 27), ('head-boppin', 15)]"
MTV’s Hip Hopera Soundtrack: Carmen,"[('winter', 65), ('must-listen', 89), ('pop art', 13), ('autumnsongs', 50), ('sing along with me', 1), ('aterciopelados - no necesito', 33), ('cow', 99), ('immediatly grabbed my attention', 34), ('makes me a jolly little boy', 4), ('atlantic starr love crazy', 6)]","[('almost dissonant guitar', 52), ('soulrnb', 78), ('listen reaaaaally loud', 16), ('leccaciuffi', 53), ('amazingness', 52), ('to remember forever', 95), ('maar niet zo mooi als 2007', 21), ('drag queen', 91), ('philly local', 58), ('head-boppin', 97)]"
MTV’s Hip Hopera Soundtrack: Carmen,"[('winter', 19), ('must-listen', 73), ('pop art', 33), ('autumnsongs', 78), ('sing along with me', 42), ('aterciopelados - no necesito', 45), ('cow', 52), ('immediatly grabbed my attention', 22), ('makes me a jolly little boy', 34), ('atlantic starr love crazy', 56)]","[('almost dissonant guitar', 45), ('soulrnb', 81), ('listen reaaaaally loud', 41), ('leccaciuffi', 69), ('amazingness', 100), ('to remember forever', 28), ('maar niet zo mooi als 2007', 30), ('drag queen', 35), ('philly local', 42), ('head-boppin', 33)]"
The Beyoncé Experience Live,"[('winter', 78), ('must-listen', 100), ('pop art', 51), ('autumnsongs', 29), ('sing along with me', 40), ('aterciopelados - no necesito', 32), ('cow', 22), ('immediatly grabbed my attention', 22), ('makes me a jolly little boy', 33), ('atlantic starr love crazy', 83)]","[('almost dissonant guitar', 37), ('soulrnb', 25), ('listen reaaaaally loud', 14), ('leccaciuffi', 92), ('amazingness', 28), ('to remember forever', 64), ('maar niet zo mooi als 2007', 55), ('drag queen', 36), ('philly local', 99), ('head-boppin', 48)]"
Unreleased Songs ,"[('winter', 85), ('must-listen', 38), ('pop art', 83), ('autumnsongs', 18), ('sing along with me', 23), ('aterciopelados - no necesito', 93), ('cow', 29), ('immediatly grabbed my attention', 60), ('makes me a jolly little boy', 76), ('atlantic starr love crazy', 85)]","[('almost dissonant guitar', 38), ('soulrnb', 79), ('listen reaaaaally loud', 21), ('leccaciuffi', 62), ('amazingness', 14), ('to remember forever', 11), ('maar niet zo mooi als 2007', 45), ('drag queen', 40), ('philly local', 66), ('head-boppin', 97)]"
The Beyoncé Experience Live,"[('winter', 87), ('must-listen', 45), ('pop art', 42), ('autumnsongs', 29), ('sing along with me', 28), ('aterciopelados - no necesito', 9), ('cow', 94), ('immediatly grabbed my attention', 85), ('makes me a jolly little boy', 51), ('atlantic starr love crazy', 54)]","[('almost dissonant guitar', 62), ('soulrnb', 86), ('listen reaaaaally loud', 94), ('leccaciuffi', 2), ('amazingness', 66), ('to remember forever', 3), ('maar niet zo mooi als 2007', 90), ('drag queen', 86), ('philly local', 97), ('head-boppin', 68)]"
Swaggot Trilltape,"[('winter', 56), ('must-listen', 88), ('pop art', 77), ('autumnsongs', 16), ('sing along with me', 54), ('aterciopelados - no necesito', 68), ('cow', 20), ('immediatly grabbed my attention', 38), ('makes me a jolly little boy', 45), ('atlantic starr love crazy', 78)]","[('almost dissonant guitar', 13), ('soulrnb', 48), ('listen reaaaaally loud', 79), ('leccaciuffi', 45), ('amazingness', 99), ('to remember forever', 93), ('maar niet zo mooi als 2007', 76), ('drag queen', 22), ('philly local', 9), ('head-boppin', 10)]"
"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)","[('winter', 18), ('must-listen', 17), ('pop art', 44), ('autumnsongs', 71), ('sing along with me', 15), ('aterciopelados - no necesito', 67), ('cow', 82), ('immediatly grabbed my attention', 7), ('makes me a jolly little boy', 96), ('atlantic starr love crazy', 65)]","[('almost dissonant guitar', 13), ('soulrnb', 77), ('listen reaaaaally loud', 52), ('leccaciuffi', 37), ('amazingness', 57), ('to remember forever', 22), ('maar niet zo mooi als 2007', 8), ('drag queen', 32), ('philly local', 48), ('head-boppin', 6)]"
dont smile at me (Japanese Import),"[('winter', 29), ('must-listen', 12), ('pop art', 28), ('autumnsongs', 50), ('sing along with me', 15), ('aterciopelados - no necesito', 15), ('cow', 80), ('immediatly grabbed my attention', 28), ('makes me a jolly little boy', 84), ('atlantic starr love crazy', 59)]","[('almost dissonant guitar', 82), ('soulrnb', 37), ('listen reaaaaally loud', 82), ('leccaciuffi', 36), ('amazingness', 95), ('to remember forever', 77), ('maar niet zo mooi als 2007', 41), ('drag queen', 1), ('philly local', 80), ('head-boppin', 93)]"
Live at Third Man Records,"[('winter', 2), ('must-listen', 3), ('pop art', 50), ('autumnsongs', 90), ('sing along with me', 56), ('aterciopelados - no necesito', 100), ('cow', 34), ('immediatly grabbed my attention', 31), ('makes me a jolly little boy', 57), ('atlantic starr love crazy', 4)]","[('almost dissonant guitar', 66), ('soulrnb', 42), ('listen reaaaaally loud', 45), ('leccaciuffi', 23), ('amazingness', 87), ('to remember forever', 26), ('maar niet zo mooi als 2007', 86), ('drag queen', 55), ('philly local', 51), ('head-boppin', 36)]"
Love Yourself 承 ‘Her’,"[('winter', 86), ('must-listen', 38), ('pop art', 98), ('autumnsongs', 35), ('sing along with me', 79), ('aterciopelados - no necesito', 35), ('cow', 67), ('immediatly grabbed my attention', 29), ('makes me a jolly little boy', 71), ('atlantic starr love crazy', 42)]","[('almost dissonant guitar', 86), ('soulrnb', 56), ('listen reaaaaally loud', 45), ('leccaciuffi', 74), ('amazingness', 53), ('to remember forever', 80), ('maar niet zo mooi als 2007', 38), ('drag queen', 34), ('philly local', 79), ('head-boppin', 38)]"
LOVE YOURSELF 結 ‘Answer’,"[('winter', 42), ('must-listen', 17), ('pop art', 95), ('autumnsongs', 47), ('sing along with me', 60), ('aterciopelados - no necesito', 60), ('cow', 78), ('immediatly grabbed my attention', 19), ('makes me a jolly little boy', 76), ('atlantic starr love crazy', 51)]","[('almost dissonant guitar', 43), ('soulrnb', 76), ('listen reaaaaally loud', 23), ('leccaciuffi', 95), ('amazingness', 12), ('to remember forever', 36), ('maar niet zo mooi als 2007', 57), ('drag queen', 22), ('philly local', 30), ('head-boppin', 57)]"
MAP OF THE SOUL: PERSONA,"[('winter', 63), ('must-listen', 18), ('pop art', 51), ('autumnsongs', 97), ('sing along with me', 5), ('aterciopelados - no necesito', 43), ('cow', 67), ('immediatly grabbed my attention', 7), ('makes me a jolly little boy', 68), ('atlantic starr love crazy', 23)]","[('almost dissonant guitar', 77), ('soulrnb', 99), ('listen reaaaaally loud', 47), ('leccaciuffi', 36), ('amazingness', 70), ('to remember forever', 5), ('maar niet zo mooi als 2007', 16), ('drag queen', 22), ('philly local', 28), ('head-boppin', 55)]"
LOVE YOURSELF 結 ‘Answer’,"[('winter', 9), ('must-listen', 79), ('pop art', 15), ('autumnsongs', 82), ('sing along with me', 39), ('aterciopelados - no necesito', 84), ('cow', 94), ('immediatly grabbed my attention', 49), ('makes me a jolly little boy', 85), ('atlantic starr love crazy', 54)]","[('almost dissonant guitar', 11), ('soulrnb', 71), ('listen reaaaaally loud', 78), ('leccaciuffi', 74), ('amazingness', 29), ('to remember forever', 84), ('maar niet zo mooi als 2007', 35), ('drag queen', 89), ('philly local', 50), ('head-boppin', 64)]"
